---------- Weight factors of the objective function -------- 

c1: 0.33 	 (For travel-time of the buses)
c2: 0.33 	 (For walking time of the passengers)
c3: 0.34 	 (For the absolute difference in desired arrival time and actual arrival time of the passengers)

---------------------- Parameters -------------------------- 

Number of buses: 12
Number of mandatory bus stops: 6
Number optional bus stops per cluster: 5 
 --> One cluster between each mandatory stop: 25 optional stops in total
Total number of bus stops: 31
Number of passenger requests: 48
Bus capacity: 20 passengers
Planning horizon: 15120s
Minimum time between two buses departing from a mandatory stop: 1200s
Maximum walking time for any passenger: 1200 seconds
Maximum amount of time a passenger can arrive too early: 900 seconds
Maximum amount of time a passenger can arrive too late: 300 seconds
Maximum amount of time a passenger can depart too early: 300 seconds
Maximum amount of time a passenger can depart too late: 900 seconds

Desired arrival times of the passengers in seconds: 
p_1: 	11467
p_2: 	10279
p_3: 	10195
p_4: 	11293
p_5: 	11278
p_6: 	10909
p_7: 	13648
p_8: 	14065
p_9: 	14072
p_10: 	12910
p_11: 	12708
p_12: 	13999
p_13: 	15875
p_14: 	16808
p_15: 	15851
p_16: 	16564
p_17: 	16778
p_18: 	15931
p_19: 	18350
p_20: 	18692
p_21: 	19083
p_22: 	18641
p_23: 	19058
p_24: 	18680

Desired departure times of the passengers in seconds: 
p_25: 	7093
p_26: 	7782
p_27: 	7149
p_28: 	8086
p_29: 	7502
p_30: 	8012
p_31: 	10611
p_32: 	10725
p_33: 	9814
p_34: 	10262
p_35: 	10307
p_36: 	10431
p_37: 	14071
p_38: 	14083
p_39: 	13235
p_40: 	12597
p_41: 	11822
p_42: 	13391
p_43: 	16097
p_44: 	15145
p_45: 	16052
p_46: 	16266
p_47: 	15156
p_48: 	15919

Walking time between passengers and bus stops in seconds: 
passengers correspond with the rows, bus stops correspond with the columns 
the mandatory stops are listed first, then the optional stops are listed
8417	5768	3418	1412	3988	6493	9526	9257	9872	9298	9683	4996	4564	5005	5040	4503	4420	4964	4858	4734	5010	701	742	681	383	472	5717	4994	5496	5194	6126	
12614	10120	7647	5380	2804	299	13243	12974	13589	13015	13400	11075	11357	11487	11798	11296	8137	8681	8575	8451	8727	6091	7176	6111	7176	6511	4713	4757	3986	2957	4556	
4376	1727	3904	6171	8747	11252	5485	5216	5831	5257	5642	955	425	964	999	255	6157	6056	5127	5534	5567	5460	4783	5440	4383	5040	10476	9753	10255	9953	10885	
9751	7257	4784	2517	517	2563	10782	10513	11128	10554	10939	8212	8494	8624	8935	8433	5676	6220	6114	5990	6266	3228	4313	3248	4313	3648	2252	2296	1566	1264	2196	
4832	2338	710	3604	5902	7702	5397	5128	5743	5169	5554	3293	3575	3705	4016	3514	2387	2286	1357	1764	1797	4602	4871	4256	4471	3656	6706	5983	6485	6183	7115	
2968	3220	5570	8464	10762	12562	537	1530	883	1226	927	3992	4522	3983	3948	4719	4568	4150	4130	4254	3978	9462	9731	9116	9331	8516	8570	7948	8719	9748	8979	
7580	5086	2613	4118	6416	8216	5057	6142	5229	5838	5539	6041	6323	6453	6764	6262	360	461	1390	983	950	5116	5385	4770	4985	4170	3958	3602	4373	5402	4367	
3461	1720	4193	6460	9036	11541	4570	4301	4916	4342	4727	765	489	353	84	686	6446	6345	5416	5823	5856	5749	5698	5729	5298	5329	10765	10042	10544	10242	11174	
9817	7168	4818	1924	3932	6437	10926	10657	11272	10698	11083	6396	5866	6405	6440	5669	5820	6364	6258	6134	6410	926	657	1272	1057	1872	5661	4938	5440	5138	6070	
3241	1608	4081	6348	8924	11429	4350	4081	4696	4122	4507	653	709	241	135	906	6334	6233	5304	5711	5744	5649	5918	5617	5518	5217	10653	9930	10432	10130	11062	
